utt_id,maya,spk_id,filename
spk_001_utt_0001,baach,spk_001,c5EgkTbau2o_0000
spk_001_utt_0002,chiich,spk_001,c5EgkTbau2o_0001
spk_001_utt_0003,ch'íich',spk_001,c5EgkTbau2o_0002
spk_001_utt_0004,ja',spk_001,c5EgkTbau2o_0003
spk_001_utt_0005,kool,spk_001,c5EgkTbau2o_0004
spk_001_utt_0006,k'i'ik',spk_001,c5EgkTbau2o_0005
spk_001_utt_0007,luuk',spk_001,c5EgkTbau2o_0006
spk_001_utt_0008,míis,spk_001,c5EgkTbau2o_0007
spk_001_utt_0009,nool,spk_001,c5EgkTbau2o_0008
spk_001_utt_0010,pool,spk_001,c5EgkTbau2o_0009
spk_001_utt_0011,p'aak,spk_001,c5EgkTbau2o_0010
spk_001_utt_0012,turix,spk_001,c5EgkTbau2o_0011
spk_001_utt_0013,sojol,spk_001,c5EgkTbau2o_0012
spk_001_utt_0014,teen,spk_001,c5EgkTbau2o_0013
spk_001_utt_0015,t'uuch,spk_001,c5EgkTbau2o_0014
spk_001_utt_0016,tsaats,spk_001,c5EgkTbau2o_0015
spk_001_utt_0017,ts'aak,spk_001,c5EgkTbau2o_0016
spk_001_utt_0018,waaj,spk_001,c5EgkTbau2o_0017
spk_001_utt_0019,xamach,spk_001,c5EgkTbau2o_0018
spk_001_utt_0020,yúuntun,spk_001,c5EgkTbau2o_0019
spk_001_utt_0021,atan,spk_001,c5EgkTbau2o_0020
spk_001_utt_0022,maak,spk_001,c5EgkTbau2o_0021
spk_001_utt_0023,máak,spk_001,c5EgkTbau2o_0022
spk_001_utt_0024,sa',spk_001,c5EgkTbau2o_0023
spk_001_utt_0025,ja'an,spk_001,c5EgkTbau2o_0024
spk_001_utt_0026,nej,spk_001,c5EgkTbau2o_0025
spk_001_utt_0027,peek',spk_001,c5EgkTbau2o_0026
spk_001_utt_0028,néen,spk_001,c5EgkTbau2o_0027
spk_001_utt_0029,je',spk_001,c5EgkTbau2o_0028
spk_001_utt_0030,se'en,spk_001,c5EgkTbau2o_0029
spk_001_utt_0031,ilib,spk_001,c5EgkTbau2o_0030
spk_001_utt_0032,k'iin,spk_001,c5EgkTbau2o_0031
spk_001_utt_0033,íicham,spk_001,c5EgkTbau2o_0032
spk_001_utt_0034,k'ali',spk_001,c5EgkTbau2o_0033
spk_001_utt_0035,k'i'ix,spk_001,c5EgkTbau2o_0034
spk_001_utt_0036,koj,spk_001,c5EgkTbau2o_0035
spk_001_utt_0037,ch'oom,spk_001,c5EgkTbau2o_0036
spk_001_utt_0038,sóol,spk_001,c5EgkTbau2o_0037
spk_001_utt_0039,ch'o',spk_001,c5EgkTbau2o_0038
spk_001_utt_0040,to'on,spk_001,c5EgkTbau2o_0039
spk_001_utt_0041,uj,spk_001,c5EgkTbau2o_0040
spk_001_utt_0042,yuum,spk_001,c5EgkTbau2o_0041
spk_001_utt_0043,úulum,spk_001,c5EgkTbau2o_0042
spk_001_utt_0044,k'u',spk_001,c5EgkTbau2o_0043
spk_001_utt_0045,k'u'k'um,spk_001,c5EgkTbau2o_0044
spk_002_utt_0001,chak,spk_002,VSC-pggBf2Y_0000
spk_002_utt_0002,cháak,spk_002,VSC-pggBf2Y_0001
spk_002_utt_0003,sak,spk_002,VSC-pggBf2Y_0002
spk_002_utt_0004,saak',spk_002,VSC-pggBf2Y_0003
spk_002_utt_0005,sáak',spk_002,VSC-pggBf2Y_0004
spk_002_utt_0006,saktal,spk_002,VSC-pggBf2Y_0005
spk_002_utt_0007,boox,spk_002,VSC-pggBf2Y_0006
spk_002_utt_0008,lela' juntúul box peek',spk_002,VSC-pggBf2Y_0007
spk_002_utt_0009,k'an,spk_002,VSC-pggBf2Y_0008
spk_002_utt_0010,k'ank'an,spk_002,VSC-pggBf2Y_0009
spk_002_utt_0011,kan,spk_002,VSC-pggBf2Y_0010
spk_002_utt_0012,kaan,spk_002,VSC-pggBf2Y_0011
spk_002_utt_0013,ka'an,spk_002,VSC-pggBf2Y_0012
spk_002_utt_0014,k'a'am,spk_002,VSC-pggBf2Y_0013
spk_002_utt_0015,k'áan,spk_002,VSC-pggBf2Y_0014
spk_002_utt_0016,ya'ax,spk_002,VSC-pggBf2Y_0015
spk_002_utt_0017,yáax,spk_002,VSC-pggBf2Y_0016
spk_002_utt_0018,ya'axche,spk_002,VSC-pggBf2Y_0017
spk_002_utt_0019,ch'ooj,spk_002,VSC-pggBf2Y_0018
spk_002_utt_0020,chak k'an,spk_002,VSC-pggBf2Y_0019
spk_002_utt_0021,sam chak,spk_002,VSC-pggBf2Y_0020
